paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year
P00003423,한반도 통일기반 조성을 위한 비정부기구(NGO)의 역할: 대북 지원 NGO와 북한 인권 NGO를 중심으로,김성한,국제관계연구,2014
P00003682,한국 통상정책의 변화와 FTA,이승주,한국정치외교사논총,2007
P00003683,한국의 무역 자유화:  개방ㆍ보호ㆍ보상의 정치경제,이승주,한국정치학회보,2011
P00003697,세계금융위기 이후 자본주의 담론의 변화:  한국과 일본의 경우,손열,동아연구,2013
P00003698,일본의 TPP 교섭참가결정 분석: 지역경제질서 건축전략의 맥락에서,손열,일본연구논총,2014
P00003785,"한반도 정전체제 : 등장, 구조, 특성, 변환",박명림,한국과 국제정치,2006
P00004018,독립규제위원회의 전문성 제고를 위한 시스템에 관한 연구  - 방송통신위원회의 기능과 역할을 중심으로 -,조소영,공법학연구,2009
P00004026,방송통신융합에 따른 헌법문제의 고찰,정영화,세계헌법연구,2007
P00004033,방송통신 융합환경에서 수평적   계층분류와 정책방향,이상우,정보통신정책연구,2008
P00004036,수평규제체제 도입을 위한 계층구분 방안,이상규,사이버커뮤니케이션학보,2007
P00004207,중국의 한국드라마와 한류스타 현상,곽수경,중국연구,2005
P00004223,중국에서의 ‘한류’ - 현황과 미래,루 하이보,영상예술연구,2007
P00004234,중국의 ‘한류’ 수용과 저항: 중국 문화정체성의 국제문화관계학적 함의,윤경우,한국과 국제정치,2006
P00004235,수용과 충돌 -한국 드라마 열풍 이면의 문화적 시차,張海明,중국학논총,2006
P00004237,한·중관계의 발전과 규범 충돌:  현황과 과제,조영남,한국정치연구,2010
P00004238,한·중 관계의 발전추세와 전망: 바람직한 중국정책을 위한 시론(試論),조영남,국제.지역연구,2011
P00004207,중국의 한국드라마와 한류스타 현상,곽수경,중국연구,2005
P00004242,"중국의 동반자외교 小考:  개념, 전개 및 함의에 대한 이해",김흥규,한국정치학회보,2009
P00004247,중국의 문화적 팽창주의: 동북아질서에 대한 중국의 의도 분석,이장원,국제정치논총,2008
P00004235,수용과 충돌 -한국 드라마 열풍 이면의 문화적 시차,張海明,중국학논총,2006
P00004242,"중국의 동반자외교 小考:  개념, 전개 및 함의에 대한 이해",김흥규,한국정치학회보,2009
P00004962,한·일 FTA에 대한 국내외 여건 평가와협상에 대한 전망,정인교,아태연구,2009
P00004963,한일 자유무역협정에 관한 연구,조석홍,관세학회지,2002
P00004972,한일간 정치적 현안이 한일 FTA 체결에 미치는 영향 연구,한형근,국제정치연구,2007
P00004975,IMF 이후 중소기업의 위상변화,홍금우,산업경제연구,2002
P00004977,한국의 FTA정책에 관한 연구,이남구,무역학회지,2003
P00004989,한. 일 FTA:비관세 장벽과 피해산업,이시영,일본연구논총,2004
P00004991,중국진출 한국중소기업의 개성공단 진출방안 연구: 현지기업 조사를 중심으로,남성욱,북한연구학회보,2007
P00004999,한국중소기업과 대기업의 기업성과 결정요인 비교분석 - 규모의 경제와 유연성을 중심으로 -,송준기,중소기업연구,2004
P00008181,‘유사동맹’ 속의 동맹 딜레마: ‘상대적 방기’ 불안과 한일 갈등,김근희,국방정책연구,2023
P00008182,미국의 한반도 확장억제 평가,김성한,국제관계연구,2020
P00008183,중국과 러시아의 대미 ‘연성균형’과 6자회담,김용호,신아세아,2007
P00008184,"김정은의 신외교와 독재자의 딜레마(Dictator's Dilemma), 그리고 빅데이터 역설(Big Data Paradox)",김용호,한국과 국제정치,2018
P00008185,한반도 확장억제의 재조명: 핵우산의 한계와 재래식 억제의 모색,김정섭,국가전략,2015
P00008186,군사적 비관주의와 과잉억제의 극복: 북한 SLBM 위협 대응전략에 대한 재조명,김정섭,국가전략,2020
